"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score"
"1",0,1,0,0,1,0,1,1,0,1,1
"2",0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0
"4",0,2,0,1,1,0,0,0,0,3,3
"5",0,1,1,0,1,0,1,1,2,2,0
"6",0,1,0,0,1,0,1,1,0,1,1
"7",1,1,1,1,0,1,0,1,1,3,2
"8",1,2,0,1,2,1,0,6,2,7,5
"9",0,0,0,0,0,0,0,0,0,1,1
"10",0,0,0,0,0,0,0,0,0,0,0
"11",1,1,0,1,1,1,1,1,1,1,0
"12",0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,1,1,1,2,1
"15",0,2,0,1,1,1,1,1,1,4,3
"16",0,2,0,0,1,0,1,3,0,2,2
"17",0,1,0,0,0,0,0,0,0,0,0
"18",0,1,0,0,1,1,1,1,1,3,2
"19",0,1,0,0,1,0,1,1,0,2,2
"20",0,1,0,0,1,0,1,1,0,2,2
"21",0,0,0,0,0,0,0,0,0,2,2
"22",0,0,0,0,0,0,0,0,0,1,1
"23",0,1,1,0,1,0,1,2,1,2,1
"24",0,0,0,0,0,0,0,3,0,4,4
"25",0,1,0,1,0,1,0,2,1,5,4
"26",0,0,0,0,0,0,0,0,0,0,0
"27",0,1,0,0,0,0,0,2,0,3,3
"28",0,1,0,0,0,0,0,0,0,1,1
"29",0,1,0,0,1,0,1,1,0,1,1
"30",0,1,0,0,0,0,0,0,0,1,1
"31",0,1,0,0,1,0,1,1,0,1,1
"32",0,0,0,0,1,0,0,2,0,2,2
"33",0,2,0,0,3,0,1,4,1,4,3
"34",0,1,0,0,1,0,1,2,0,3,3
"35",0,0,0,0,0,0,0,1,0,1,1
"36",0,1,1,0,1,0,1,0,2,1,-1
"37",0,2,0,0,1,0,1,1,0,2,2
"38",0,1,0,0,2,0,1,2,0,2,2
"39",0,1,0,0,1,0,1,1,0,1,1
"40",0,0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,1,0,0,0,0,1,1
"43",0,1,0,0,1,0,1,1,0,1,1
"44",0,0,0,0,0,0,0,2,0,2,2
"45",0,0,0,0,0,1,0,0,1,2,1
"46",0,0,0,0,0,0,0,0,0,1,1
"47",0,1,0,1,0,1,0,0,1,2,1
"48",0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,1,0,0,0,0,1,1
"50",0,1,0,0,0,0,0,0,0,0,0
"51",0,1,0,0,1,0,1,1,0,1,1
"52",0,0,0,0,0,0,0,0,0,0,0
"53",0,0,0,1,0,1,0,1,1,1,0
"54",0,0,0,1,1,1,0,1,1,2,1
"55",0,0,0,0,1,0,0,1,0,2,2
"56",0,2,0,0,2,0,1,1,0,3,3
"57",0,2,0,0,0,0,0,0,0,1,1
"58",0,0,0,0,1,0,0,1,0,1,1
"59",0,0,1,1,0,1,0,0,1,0,-1
"60",0,0,0,0,0,0,0,0,0,1,1
"61",0,0,0,0,1,0,0,1,0,1,1
"62",0,1,0,1,2,1,1,2,1,2,1
"63",0,0,0,0,0,0,0,0,0,0,0
"64",0,1,0,0,0,0,0,0,0,1,1
"65",0,0,0,0,0,0,0,0,0,0,0
"66",0,1,0,0,1,0,1,1,0,1,1
"67",0,1,0,0,1,0,1,1,0,1,1
"68",0,0,0,0,0,0,0,1,0,1,1
"69",0,1,0,0,1,0,1,2,0,2,2
"70",0,1,0,0,1,0,1,1,0,1,1
"71",0,1,0,0,1,0,0,1,1,1,0
"72",0,0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0,0
"74",0,1,0,0,0,1,0,0,0,0,0
"75",0,0,0,0,0,0,0,0,0,0,0
"76",0,1,0,0,1,0,1,1,0,1,1
"77",0,0,0,0,0,0,0,0,0,0,0
"78",0,0,0,0,0,0,0,0,0,0,0
"79",0,0,0,0,1,0,0,0,0,2,2
"80",0,0,0,0,0,0,0,0,0,0,0
"81",0,0,0,0,0,0,0,0,0,0,0
"82",0,1,0,0,1,0,1,1,0,1,1
"83",0,0,0,0,0,0,0,0,0,1,1
"84",0,1,0,0,1,0,1,1,0,1,1
"85",0,1,0,0,1,0,1,1,1,1,0
"86",0,1,0,0,1,0,1,1,0,1,1
"87",0,1,0,0,1,0,1,1,0,1,1
"88",0,1,0,0,1,0,1,1,0,1,1
"89",0,0,0,0,0,0,0,1,0,1,1
"90",0,1,0,0,1,0,1,1,0,1,1
"91",1,1,1,0,1,1,1,1,1,1,0
"92",0,0,0,0,1,0,0,1,0,1,1
"93",0,0,0,0,0,0,0,1,0,1,1
"94",0,0,0,0,0,0,0,0,0,0,0
"95",0,0,0,0,0,0,0,0,0,0,0
"96",0,0,0,0,0,0,0,0,0,0,0
"97",0,1,0,0,1,0,1,1,0,1,1
"98",0,1,0,0,0,0,0,0,0,2,2
"99",0,1,0,0,1,0,1,1,0,1,1
"100",0,0,0,0,0,0,0,0,0,1,1
